image,precision,recall
A17.1,1.0,0.4166666666666667
A21.1,0.9230769230769231,0.11650485436893204
A24.1,1.0,0.21739130434782608
A25.1,0.8181818181818182,0.6923076923076923
A34.1,0.8203309692671394,0.8361445783132531
A38.1,0.6896551724137931,0.8695652173913043
A45.2,0.93059181897302,0.9250567751703255
B14.1,0.7864077669902912,0.916289592760181
B17.1,0.6865008880994672,0.95079950799508
B31.1,0.765793528505393,0.922077922077922
B32.1,0.7658862876254181,0.9404517453798767
B34.2,0.8676056338028169,0.9333333333333333
B39.1,0.2676056338028169,1.0
C2.1,0.6,0.8181818181818182
C9.1,0.685456595264938,0.8618001417434443
D1.1,0.050505050505050504,1.0
D11.1,0.7963386727688787,0.754880694143167
D20.1,0.7745762711864407,0.9288617886178862
D22.3,0.7534668721109399,0.9226415094339623
